facility_id,name,city,state,county,lat,lon,field_office,cbsa_name,cbsa_type,days_midnight,avg_midnight_pop,max_midnight_pop
HARDJIA,Hardin County Jail,Eldora,IA,Hardin,42.36007804,-93.09753119,St Paul,,Rural,326.0,30.0,57.0
HMCHOTX,Harlingen Medical Center,Harlingen,TX,Cameron,26.15745,-97.67529998,Harlingen,"Brownsville-Harlingen, TX",Metro,2.0,0.0,1.0
HRLGNTX,Harlingen Police Department,Harlingen,TX,Cameron,26.20035,-97.70541599,Harlingen,"Brownsville-Harlingen, TX",Metro,0.0,0.0,0.0
HCPSYTX,Harris County Psychiatric Center,Houston,TX,Harris,29.71223932,-95.37435583000001,Houston,"Houston-Pasadena-The Woodlands, TX",Metro,132.0,0.8,3.0
HHBTHTX,Harris Health Ben Taub Hospital,Houston,TX,Harris,29.71117201,-95.39405699,Houston,"Houston-Pasadena-The Woodlands, TX",Metro,64.0,0.3,1.0
LBJHSTX,Harris Health LBJ Hospital,Houston,TX,Harris,29.81192802,-95.31240602,Houston,"Houston-Pasadena-The Woodlands, TX",Metro,2.0,0.0,1.0
HARRIMS,Harrison Detention Center,Gulfport,MS,Harrison,30.43920191,-89.0546797,New Orleans,"Gulfport-Biloxi, MS",Metro,0.0,0.0,0.0
HARFOCT,Hartford Correctional Center,Hartford,CT,Capitol,41.79372102,-72.66131701,Boston,"Hartford-West Hartford-East Hartford, CT",Metro,4.0,0.0,1.0
HENDENC,Henderson County Detention Facility,Hendersonville,NC,Henderson,35.3158728,-82.45598946,Atlanta,"Asheville, NC",Metro,3.0,0.0,2.0
HENDENV,Henderson Detention Center,Henderson,NV,Clark,36.03059098,-114.979471,Salt Lake City,"Las Vegas-Henderson-North Las Vegas, NV",Metro,365.0,82.8,113.0
HDHSPNV,Henderson Hospital,Henderson,NV,Clark,36.07266562,-115.0306285,Salt Lake City,"Las Vegas-Henderson-North Las Vegas, NV",Metro,13.0,0.1,1.0
HNDMCTX,Hendrick Medical Center,Abilene,TX,Taylor,32.47216534,-99.73381326,Dallas,"Abilene, TX",Metro,29.0,0.1,1.0
HENDRFL,Hendry County Jail,Labelle,FL,Hendry,26.76036583,-81.43670544,Miami,"Clewiston, FL",Micro,4.0,0.0,2.0
HCMCMMN,Hennepin County Medical Center,Minneapolis,MN,Hennepin,44.97210379,-93.2624106,St Paul,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,2.0,0.0,1.0
HENRIVA,Henrico County Jail,Barhamsville,VA,New Kent,37.49537919,-76.86187099,Washington,"Richmond, VA",Metro,0.0,0.0,0.0
HERNAFL,Hernando County Jail,Brooksville,FL,Hernando,28.48386776,-82.45172885,Miami,"Tampa-St. Petersburg-Clearwater, FL",Metro,2.0,0.0,2.0
HIDALNM,Hidalgo County Detention Center,Lordsburg,NM,Hidalgo,32.33784165,-108.6661874,El Paso,,Rural,0.0,0.0,0.0
HIDALTX,Hidalgo County Sheriff?s Jail,Edinburg,TX,Hidalgo,26.416844,-98.12778001,Harlingen,"McAllen-Edinburg-Mission, TX",Metro,0.0,0.0,0.0
AKHIGHL,Highland Mtn Correctional Center,Eagle River,AK,Anchorage,61.30306602,-149.581249,Seattle,"Anchorage, AK",Metro,37.0,0.1,2.0
HGHBECO,Highlands Behavioral Health,Littleton,CO,Douglas,39.56277988,-104.9076912,Denver,"Denver-Aurora-Centennial, CO",Metro,0.0,0.0,0.0
HICOJFL,Hillsborough County Jail,Tampa,FL,Hillsborough,27.95903699,-82.37143098,Miami,"Tampa-St. Petersburg-Clearwater, FL",Metro,142.0,2.2,46.0
HPKNSKY,Hopkins County Jail,Madisonville,KY,Hopkins,37.33759615,-87.53993367,Chicago,"Madisonville, KY",Micro,349.0,126.5,196.0
HOUICDF,Houston Contract Detention Facility,Houston,TX,Harris,29.95053796,-95.31222371,Houston,"Houston-Pasadena-The Woodlands, TX",Metro,365.0,837.1,982.0
HOUHOLD,Houston Field Office Hold Room,Houston,TX,Harris,29.93757547,-95.40639406,Houston,"Houston-Pasadena-The Woodlands, TX",Metro,318.0,1.9,85.0
HHCHKTX,Houston Healthcare Hospital,Kingwood,TX,Montgomery,30.04814462,-95.25505479,Houston,"Houston-Pasadena-The Woodlands, TX",Metro,54.0,0.3,2.0
HUDSONJ,Hudson County Jail,Kearny,NJ,Hudson,40.72807538,-74.10842526,Newark,"New York-Newark-Jersey City, NY-NJ",Metro,0.0,0.0,0.0
POLKCTX,IAH Polk Adult Detention Facility,Livingston,TX,Polk,30.69789175,-95.00594905,Houston,,Rural,365.0,839.6,895.0
IMPCOCA,Imperial County Jail,El Centro,CA,Imperial,32.80312376,-115.5690025,San Diego,"El Centro, CA",Metro,0.0,0.0,0.0
IRADFCA,Imperial Regional Detention Facility,Calexico,CA,Imperial,32.69075498,-115.39788,San Diego,"El Centro, CA",Metro,365.0,651.1,734.0
IMPHOLD,Imperial Sub Office Hold Room,El Centro,CA,Imperial,32.81319479,-115.572837,San Diego,"El Centro, CA",Metro,62.0,0.3,21.0
INDMPIN,Indianapolis Metropolitan PD,Indianapolis,IN,Marion,39.76795998,-86.15298996,Chicago,"Indianapolis-Carmel-Greenwood, IN",Metro,0.0,0.0,0.0
INTEGOK,Integris Health Baptist Medical,Oklahoma City,OK,Oklahoma,35.52676999,-97.58462698,Dallas,"Oklahoma City, OK",Metro,6.0,0.0,1.0
IRWINGA,Irwin County Detention Center,Ocilla,GA,Irwin,31.57992901,-83.25533301,Atlanta,,Rural,150.0,65.0,300.0
JFKTSNY,JFK International Airport - T7,Jamaica,NY,Queens,40.6495293,-73.7828736,New York City,"New York-Newark-Jersey City, NY-NJ",Metro,82.0,0.5,4.0
JHRWLTX,Jack Harwell Detention Center,Waco,TX,McLennan,31.54918377,-97.08131943,Houston,"Waco, TX",Metro,41.0,0.2,11.0
JMHOSFL,Jackson Memorial Hospital,Miami,FL,Miami-Dade,25.79112433,-80.21207435,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,19.0,0.1,1.0
JKPCCLA,Jackson Parish Correctional Center,Jonesboro,LA,Jackson,32.21524643,-92.71586213,New Orleans,,Rural,365.0,1145.8,1372.0
