facility_id,avg_midnight_before,convicted_rate_before,female_rate_before,active_days_before,avg_midnight_after,convicted_rate_after,female_rate_after,active_days_after
FSF,163.8527,0.277,0.0368,842.0,260.1711,0.433,0.0673,415.0
FULCJIN,,,,,7.3676,0.3419,0.0671,139.0
GADRYJM,1.0,0.3333,0.0,6.0,,,,
GALLAMT,1.5,0.6,0.0,5.0,,,,
GARVIOK,2.0543,0.5672,0.0427,195.0,4.0633,0.2501,0.0208,114.0
GASTNNC,1.1368,0.7383,0.0051,178.0,1.6087,0.3444,0.0102,98.0
GCLECOK,1.0,1.0,0.0,2.0,,0.0,0.0,1.0
GCPFCKS,,0.7059,0.0588,17.0,1.0,0.1944,0.0,6.0
GEAUGOH,39.076,0.4908,0.1222,842.0,29.1277,0.23,0.3133,415.0
GFCORND,1.673,0.4639,0.0231,402.0,15.1863,0.4205,0.079,412.0
GFJUVND,,,,,1.0,1.0,0.0,105.0
GJCHOLD,1.0,0.7222,0.0253,132.0,1.1667,0.5217,0.0844,156.0
GLADEFL,,,,,367.9622,0.2876,0.0,344.0
GLDSACA,261.6342,0.75,0.0,842.0,604.988,0.4526,0.0,415.0
GLEPDCA,,1.0,0.0,1.0,2.9375,0.658,0.2996,52.0
GOODCID,,1.0,0.0,1.0,,,,
GRAYSKY,2.0231,0.8438,0.0241,595.0,119.0411,0.3031,0.8853,415.0
GREENMA,,,,,,0.0,1.0,1.0
GREENMO,,,,,242.4286,0.353,0.1035,385.0
GRFHOLD,,0.583,0.106,117.0,,0.4339,0.0975,103.0
GRIHOLD,,,,,,0.6667,0.3333,3.0
GRMHOLD,,0.7188,0.0938,16.0,1.7222,0.3543,0.0464,249.0
GRRHOLD,,0.8621,0.0252,225.0,,0.5125,0.0601,254.0
GSCHOLD,1.0,0.7143,0.0714,14.0,1.1429,0.5133,0.103,92.0
GTMOACU,,,,,28.0349,0.5854,0.0,320.0
GTMOBCU,,,,,1.0,0.0,0.0,3.0
GTMODCU,,,,,20.6712,0.0748,0.0,227.0
GUDOCHG,5.405,0.9829,0.0,842.0,13.4048,0.4254,0.033,415.0
HAILEID,1.04,0.8309,0.0184,136.0,1.2273,0.5345,0.0,29.0
HALLJGA,1.0,0.5,0.0,6.0,,0.2,0.0833,10.0
HAMILTN,,,,,,0.0,0.0,1.0
HAMILTX,,0.0,0.0,1.0,,,,
HARDEFL,,,,,1.0,0.1538,0.1538,13.0
HARDJIA,,,,,33.5706,0.5926,0.0497,327.0
HARFOCT,,0.5,0.25,4.0,1.0,0.5,0.125,8.0
HARHOLD,1.0556,0.5534,0.1545,350.0,3.3463,0.2995,0.0575,386.0
HARRIMS,,,,,,0.6667,0.0,3.0
HASHENE,12.4111,0.8587,0.0547,434.0,10.3826,0.6342,0.0075,266.0
HASKLTX,1.0059,0.9952,0.0,842.0,1.0,1.0,0.0,326.0
HBGHOLD,,0.8625,0.0,40.0,1.2308,0.6904,0.0336,249.0
HCPSCMS,9.0672,0.38,0.045,821.0,27.3108,0.2068,0.1223,415.0
HELHOLD,,1.0,0.0,2.0,,0.473,0.0,34.0
HENDENC,,1.0,0.0,4.0,1.6667,0.2308,0.0,13.0
HENDENV,64.0523,0.7726,0.1573,842.0,82.1494,0.424,0.2213,415.0
HENDRFL,,0.0,0.0,1.0,1.5,0.4286,0.4286,7.0
HENHOLD,,0.6667,0.0,6.0,1.0,0.1949,0.0385,13.0
HENRIVA,,,,,,1.0,0.0,3.0
HERNAFL,,,,,1.5,0.0,0.0,3.0
HHWHOLD,1.0909,1.0,0.1354,48.0,1.0,0.5625,0.0781,16.0
HICOJFL,,,,,5.5352,0.2866,0.0461,160.0
HIDALNM,,,,,,0.5,0.0,2.0
HIDALTX,,1.0,0.0,2.0,,0.0,0.0,1.0
HLFRJVA,,,,,1.0,0.0,0.0,2.0
HLGHOLD,1.4644,0.5181,0.2727,842.0,5.5759,0.362,0.1771,415.0
HOUHOLD,1.0012,0.8907,0.0655,842.0,2.0027,0.7923,0.1135,386.0
HOUICDF,707.7565,0.0112,0.2835,842.0,828.6651,0.2135,0.3686,415.0
HPKNSKY,,,,,132.2865,0.3699,0.0453,355.0
HRLGNTX,1.0,0.1053,0.0,19.0,,0.0,1.0,1.0
HUDSONJ,1.0,0.5,0.1667,6.0,,0.5,0.0,2.0
IAHSFTX,,,,,,0.0,0.0,3.0
IBPSMIA,,,,,,0.0,0.5,2.0
IFIHOLD,,0.6644,0.0137,73.0,,0.5598,0.0259,90.0
IMPCOCA,,1.0,1.0,1.0,,0.0,0.0,2.0
IMPHOLD,1.0,0.9221,0.0389,244.0,1.5714,0.3586,0.1346,281.0
INDMPIN,,,,,,0.0,1.0,1.0
INMIAMI,,,,,424.0745,0.733,0.0,161.0
INPHOLD,1.0,0.5411,0.0442,583.0,8.3143,0.3913,0.0744,400.0
IRADFCA,592.6983,0.1138,0.0246,842.0,652.5133,0.1668,0.0856,415.0
IRWINGA,,,,,158.1333,0.2998,0.0806,150.0
IWAHOLD,54.288,0.342,0.076,310.0,68.1571,0.2887,0.0919,376.0
JACKSTN,,0.0,0.0,1.0,,,,
JAKHOLD,1.0,0.7054,0.0142,169.0,1.1429,0.3915,0.071,376.0
JAXHOLD,1.4,0.5819,0.0613,137.0,3.2872,0.2788,0.0777,398.0
JCRLYTX,725.9596,0.0629,0.0,842.0,901.0627,0.1895,0.0,415.0
JEFFEID,2.5158,0.8656,0.0052,668.0,6.9233,0.6275,0.0157,414.0
JEFFEIL,,0.75,0.0,4.0,,,,
JENADLA,976.886,0.4678,0.004,842.0,1162.7542,0.3354,0.0003,415.0
JENATLA,258.3919,0.4465,0.0002,842.0,373.5108,0.3385,0.0022,415.0
JHRWLTX,1.7812,0.6697,0.017,98.0,1.7826,0.3636,0.2073,66.0
JKPCCLA,745.057,0.0292,0.0023,842.0,1126.8458,0.1182,0.0,415.0
KANDIMN,96.6473,0.6268,0.1053,842.0,126.0892,0.4426,0.0806,415.0
KANHOLD,,0.3103,0.3359,65.0,3.3701,0.3807,0.1095,264.0
KARNETX,1.7874,0.3345,0.0044,456.0,2.0744,0.8777,0.028,371.0
KCCDCTX,1.0431,0.3968,0.0159,126.0,2.6538,0.3885,0.1026,39.0
KCOJFOK,75.2138,0.5382,0.0326,842.0,134.2241,0.4683,0.0,415.0
KENTOKY,,,,,96.2416,0.4228,0.003,298.0
KERCOCA,,,,,,0.0,0.0,1.0
KFMANTX,,,,,1.0,0.1667,0.0,15.0
KINNETX,1.0,1.0,0.0,48.0,,1.0,0.0,20.0
KNXDFTN,3.6527,0.7499,0.0255,781.0,38.5578,0.4008,0.1677,402.0
KNXHOLD,1.0,0.7662,0.0359,355.0,1.75,0.3745,0.0848,332.0
KODIAAK,,,,,1.0,1.0,0.0,6.0
KRHUBFL,2.72,0.3615,0.132,601.0,2.1739,0.212,0.1252,401.0
KRNRCTX,981.9382,0.0215,0.0791,842.0,1004.306,0.0873,0.3131,415.0
KRO,525.4572,0.6849,0.0,842.0,938.5783,0.4697,0.0001,415.0
KROHOLD,7.0579,0.4378,0.1333,833.0,71.3051,0.3152,0.0614,235.0
LACKAPA,,,,,,0.7,0.1,5.0
LAFAYLA,,,,,5.6557,0.2844,0.0,63.0
LAKCOFL,,,,,1.5182,0.3203,0.0443,145.0
LAPAZAZ,2.2366,0.8855,0.014,470.0,1.9907,0.5986,0.071,283.0
LARCOWY,,1.0,0.0,1.0,4.2788,0.2687,0.039,177.0
LARELKY,,,,,3.663,0.7569,0.0813,319.0
LASALTX,,,,,1.0,0.0,0.0,2.0
LASHOLD,1.0,0.1887,0.7483,151.0,1.0,0.3631,0.0825,84.0
LAWINCI,1313.114,0.1591,0.0,842.0,1562.0723,0.2701,0.0,415.0
LAWRESD,,,,,10.0435,0.1675,0.0,184.0
LBKHOLD,1.0,0.58,0.016,191.0,1.8571,0.2005,0.0536,257.0
LBRTYFL,,,,,1.0,0.3333,0.0,3.0
LEONCFL,,,,,,0.0,0.0,2.0
LEVYCFL,1.0,0.875,0.0938,16.0,1.0,0.0,0.0,8.0
LEXFCKY,,0.4932,0.097,73.0,,0.7024,0.1429,14.0
LEXINSC,2.6414,0.6841,0.0327,723.0,6.2067,0.413,0.2009,415.0
LICEPLA,,,,,175.9526,0.9069,0.0001,190.0
LIMCJTX,1.0,0.8,0.0,5.0,1.0,0.0,0.0,10.0
LIMESTX,42.2639,0.1582,0.0,632.0,148.8747,0.2496,0.0,415.0
